id,order_date,order_day_of_week,store,supplier_id,product_id,category,on_order_quantity,on_hand_quantity,product_case_pack,retail_price,replenishment_unit_cost,forecast_start_date,forecast_end_date,Ao_Forecast_Quantity,Minimum_Order_Quantity,Maximum_Order_Quantity,lead_time,suggested_order_quantity,actual_order_quantity
1,1/2/2017,Monday,s1,50,28483,c654,0,0.625,16,2.6,18.56,1/2/2017,1/8/2017,8.5,2,48,2,1,1
2,1/2/2017,Monday,s1,50,40917,c896,0,0.125,8,2.95,11.28,1/2/2017,1/8/2017,1.95,2,20,2,1,1
3,1/2/2017,Monday,s1,50,136366,c896,0,0.833333,6,2.5,4.76,1/2/2017,1/8/2017,0.8,5,40,2,1,2
4,1/2/2017,Monday,s1,50,136344,c762,0,0.375,8,3.95,15.04,1/2/2017,1/8/2017,1.55,2,20,2,1,1
5,1/2/2017,Monday,s1,50,136078,c672,0,0.75,4,2.8,4.56,1/2/2017,1/8/2017,1.15,2,12,2,1,1
6,1/2/2017,Monday,s1,50,39421,c773,0,0.333333,6,2.3,6.36,1/2/2017,1/8/2017,1,2,60,2,1,1
7,1/2/2017,Monday,s1,50,23821,c773,0,0,8,2.1,8.56,1/2/2017,1/8/2017,1.9,2,20,2,1,1
8,1/2/2017,Monday,s1,50,126489,c672,0,1,4,2.8,4.08,1/2/2017,1/8/2017,1.4,3,20,2,1,1
9,1/2/2017,Monday,s1,50,126482,c2052,0,0,4,4.95,8.24,1/2/2017,1/8/2017,4.35,2,25,2,2,2
10,1/2/2017,Monday,s1,50,127110,c760,0,0,6,2.95,6.24,1/2/2017,1/8/2017,4.3,2,50,2,1,1
11,1/4/2017,Wednesday,s1,50,58827,c786,0,0.166666,6,3.75,7.74,1/4/2017,1/11/2017,38.5,1,50,2,7,2
12,1/4/2017,Wednesday,s1,50,45670,c760,0,7,1,2.75,1.02,1/4/2017,1/11/2017,5.35,2,30,2,1,1
13,1/4/2017,Wednesday,s1,50,100922,c767,0,0.75,8,2.95,11.52,1/4/2017,1/11/2017,12.35,2,50,2,1,1
14,1/4/2017,Wednesday,s1,50,100906,c770,0,0,10,3.5,15.2,1/4/2017,1/11/2017,1.8,3,20,2,1,1
15,1/4/2017,Wednesday,s1,50,109253,c771,0,6,1,1.5,0.6,1/4/2017,1/11/2017,4.6,2,40,2,1,1
16,1/4/2017,Wednesday,s1,50,1050,c767,0,0,12,2.95,18.36,1/4/2017,1/11/2017,12.2,2,30,2,2,1
17,1/4/2017,Wednesday,s1,50,25312,c767,0,0.25,12,2.5,14.88,1/4/2017,1/11/2017,2.05,2,20,2,1,1
18,1/4/2017,Wednesday,s1,50,136343,c760,0,0.1,10,4.5,22.7,1/4/2017,1/11/2017,8.2,0,1,2,1,1
19,1/4/2017,Wednesday,s1,50,136081,c672,0,-0.25,4,2.8,4.56,1/4/2017,1/11/2017,3,2,12,2,2,1
20,1/4/2017,Wednesday,s1,50,100915,c770,0,0,6,3.5,9.78,1/4/2017,1/11/2017,7.45,1,50,2,2,1
21,1/4/2017,Wednesday,s1,50,127110,c760,1,0,6,2.95,6.24,1/4/2017,1/11/2017,6.55,2,50,2,1,1
22,1/4/2017,Wednesday,s1,50,126483,c2052,0,0.25,4,4.95,8.24,1/4/2017,1/11/2017,13,2,20,2,4,1
23,1/4/2017,Wednesday,s1,50,115966,c896,0,1.666666,6,2.5,6.3,1/4/2017,1/11/2017,7.45,5,40,2,1,1
24,1/4/2017,Wednesday,s1,50,115967,c896,0,1.5,6,2.5,6.48,1/4/2017,1/11/2017,4.25,5,40,2,1,1
25,1/4/2017,Wednesday,s1,50,109254,c771,0,3,1,1.5,0.57,1/4/2017,1/11/2017,4.8,2,40,2,3,3
26,1/4/2017,Wednesday,s1,50,24637,c762,0,1.666666,3,2.95,3.24,1/4/2017,1/11/2017,14.85,2,50,2,4,2
27,1/5/2017,Thursday,s1,30,53173,c896,0,0,6,2.5,5.875,1/5/2017,1/10/2017,1.4,2,50,1,1,2
28,1/5/2017,Thursday,s1,30,127297,c790,0,3.25,8,2.95,6.93,1/5/2017,1/10/2017,31,2,200,1,1,1
29,1/5/2017,Thursday,s1,30,53172,c896,0,0,6,2.5,5.875,1/5/2017,1/10/2017,12.5,2,50,1,3,2
30,1/5/2017,Thursday,s1,30,62068,c781,0,4.75,4,5.95,8.168,1/5/2017,1/10/2017,17.6,2,30,1,1,2
