,order_date,order_day_of_week,store,supplier_id,category,product_case_pack,retail_price,replenishment_unit_cost,Ao_Forecast_Quantity,Minimum_Order_Quantity,Maximum_Order_Quantity,lead_time,suggested_order_quantity,actual_order_quantity,balance,year,month,day
0,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.0503597122302157,16,2.6,18.56,8.5,2,48,2,1,1,0.625,1.8428845020624631,1.471576227390181,1.542857142857143
1,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.1039697542533082,8,2.95,11.28,1.95,2,20,2,1,1,0.125,1.8428845020624631,1.471576227390181,1.542857142857143
2,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.1039697542533082,6,2.5,4.76,0.8,5,40,2,1,2,0.833333,1.8428845020624631,1.471576227390181,1.542857142857143
3,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.2620232172470978,8,3.95,15.04,1.55,2,20,2,1,1,0.375,1.8428845020624631,1.471576227390181,1.542857142857143
4,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.8,4.56,1.15,2,12,2,1,1,0.75,1.8428845020624631,1.471576227390181,1.542857142857143
5,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.0740740740740742,6,2.3,6.36,1.0,2,60,2,1,1,0.333333,1.8428845020624631,1.471576227390181,1.542857142857143
6,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.0740740740740742,8,2.1,8.56,1.9,2,20,2,1,1,0.0,1.8428845020624631,1.471576227390181,1.542857142857143
7,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.8,4.08,1.4,3,20,2,1,1,1.0,1.8428845020624631,1.471576227390181,1.542857142857143
8,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.7796101949025487,4,4.95,8.24,4.35,2,25,2,2,2,0.0,1.8428845020624631,1.471576227390181,1.542857142857143
9,2017-01-02,1.699685534591195,1.784480082772892,1.5733957219251338,1.5092783505154639,6,2.95,6.24,4.3,2,50,2,1,1,0.0,1.8428845020624631,1.471576227390181,1.542857142857143
10,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.935309973045822,6,3.75,7.74,38.5,1,50,2,7,2,0.166666,1.8428845020624631,1.471576227390181,1.532640949554896
11,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.5092783505154639,1,2.75,1.02,5.35,2,30,2,1,1,7.0,1.8428845020624631,1.471576227390181,1.532640949554896
12,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1268382352941178,8,2.95,11.52,12.35,2,50,2,1,1,0.75,1.8428845020624631,1.471576227390181,1.532640949554896
13,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1036106750392465,10,3.5,15.2,1.8,3,20,2,1,1,0.0,1.8428845020624631,1.471576227390181,1.532640949554896
14,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,2.819105691056911,1,1.5,0.6,4.6,2,40,2,1,1,6.0,1.8428845020624631,1.471576227390181,1.532640949554896
15,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1268382352941178,12,2.95,18.36,12.2,2,30,2,2,1,0.0,1.8428845020624631,1.471576227390181,1.532640949554896
16,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1268382352941178,12,2.5,14.88,2.05,2,20,2,1,1,0.25,1.8428845020624631,1.471576227390181,1.532640949554896
17,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.5092783505154639,10,4.5,22.7,8.2,0,1,2,1,1,0.1,1.8428845020624631,1.471576227390181,1.532640949554896
18,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.8,4.56,3.0,2,12,2,2,1,-0.25,1.8428845020624631,1.471576227390181,1.532640949554896
19,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1036106750392465,6,3.5,9.78,7.45,1,50,2,2,1,0.0,1.8428845020624631,1.471576227390181,1.532640949554896
20,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.5092783505154639,6,2.95,6.24,6.55,2,50,2,1,1,1.0,1.8428845020624631,1.471576227390181,1.532640949554896
21,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.7796101949025487,4,4.95,8.24,13.0,2,20,2,4,1,0.25,1.8428845020624631,1.471576227390181,1.532640949554896
22,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1039697542533082,6,2.5,6.3,7.45,5,40,2,1,1,1.666666,1.8428845020624631,1.471576227390181,1.532640949554896
23,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.1039697542533082,6,2.5,6.48,4.25,5,40,2,1,1,1.5,1.8428845020624631,1.471576227390181,1.532640949554896
24,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,2.819105691056911,1,1.5,0.57,4.8,2,40,2,3,3,3.0,1.8428845020624631,1.471576227390181,1.532640949554896
25,2017-01-04,1.8335139039364392,1.784480082772892,1.5733957219251338,1.2620232172470978,3,2.95,3.24,14.85,2,50,2,4,2,1.666666,1.8428845020624631,1.471576227390181,1.532640949554896
26,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.1039697542533082,6,2.5,5.875,1.4,2,50,1,1,2,0.0,1.8428845020624631,1.471576227390181,1.5954415954415955
27,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,2.3254901960784315,8,2.95,6.93,31.0,2,200,1,1,1,3.25,1.8428845020624631,1.471576227390181,1.5954415954415955
28,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.1039697542533082,6,2.5,5.875,12.5,2,50,1,3,2,0.0,1.8428845020624631,1.471576227390181,1.5954415954415955
29,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.97098976109215,4,5.95,8.168,17.6,2,30,1,1,2,4.75,1.8428845020624631,1.471576227390181,1.5954415954415955
30,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.97098976109215,4,5.95,8.17,23.4,2,30,1,5,3,2.0,1.8428845020624631,1.471576227390181,1.5954415954415955
31,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.97098976109215,4,6.95,9.965,10.5,2,30,1,1,2,3.0,1.8428845020624631,1.471576227390181,1.5954415954415955
32,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.97098976109215,4,4.95,7.3481,21.0,4,30,1,7,4,-0.25,1.8428845020624631,1.471576227390181,1.5954415954415955
33,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.7796101949025487,4,6.1,10.98,5.9,2,100,1,1,1,1.25,1.8428845020624631,1.471576227390181,1.5954415954415955
34,2017-01-05,1.755433207765865,1.784480082772892,2.2366281557552417,1.7796101949025487,4,6.1,10.98,13.0,2,100,1,4,1,0.5,1.8428845020624631,1.471576227390181,1.5954415954415955
35,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1268382352941178,12,2.6,14.4,7.55,2,50,3,1,1,0.666666,1.8428845020624631,1.471576227390181,1.7092783505154638
36,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.5092783505154639,6,2.4,3.6,5.8,2,50,3,1,1,1.0,1.8428845020624631,1.471576227390181,1.7092783505154638
37,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.8196078431372549,24,1.7,17.34,15.7,0,1,3,1,1,0.5,1.8428845020624631,1.471576227390181,1.7092783505154638
38,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,2.819105691056911,1,1.5,0.6,4.8,2,40,3,4,4,3.0,1.8428845020624631,1.471576227390181,1.7092783505154638
39,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1039697542533082,8,2.95,11.28,4.05,2,20,3,1,1,0.0,1.8428845020624631,1.471576227390181,1.7092783505154638
40,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1268382352941178,8,2.95,11.52,12.95,2,50,3,1,1,1.375,1.8428845020624631,1.471576227390181,1.7092783505154638
41,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.24,93.5,1,100,3,6,2,8.833333,1.8428845020624631,1.471576227390181,1.7092783505154638
42,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1039697542533082,8,2.95,11.28,3.8,2,20,3,1,1,0.625,1.8428845020624631,1.471576227390181,1.7092783505154638
43,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.935309973045822,6,3.75,7.74,39.5,1,50,3,5,1,2.166666,1.8428845020624631,1.471576227390181,1.7092783505154638
44,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.2620232172470978,3,2.95,3.24,15.65,2,50,3,4,2,2.666666,1.8428845020624631,1.471576227390181,1.7092783505154638
45,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.4682080924855492,6,4.95,11.34,18.35,1,6,3,1,1,2.166666,1.8428845020624631,1.471576227390181,1.7092783505154638
46,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.18,43.1,1,100,3,3,1,4.166666,1.8428845020624631,1.471576227390181,1.7092783505154638
47,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,2.819105691056911,1,1.5,0.57,5.75,2,40,3,3,3,5.0,1.8428845020624631,1.471576227390181,1.7092783505154638
48,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.7796101949025487,4,4.95,8.24,12.6,2,20,3,3,1,1.25,1.8428845020624631,1.471576227390181,1.7092783505154638
49,2017-01-06,1.8294162244124337,1.784480082772892,1.5733957219251338,1.7796101949025487,4,4.95,8.24,12.6,2,25,3,3,1,1.25,1.8428845020624631,1.471576227390181,1.7092783505154638
